,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
105,071/3/2022-11-14 10:45:21.991044-105.jpg,378.74341,518.998835,818.678955,542.88054,1.0
106,071/3/2022-11-14 10:45:21.997014-106.jpg,377.07919,516.47334,816.449965,547.27181,1.0
107,071/3/2022-11-14 10:45:22.003528-107.jpg,379.793365,516.42778,818.22614,542.52527,1.0
108,071/3/2022-11-14 10:45:22.012372-108.jpg,381.382635,518.2408600000001,815.00023,543.80468,1.0
109,071/3/2022-11-14 10:45:22.020612-109.jpg,381.8819,517.803775,818.15191,544.647775,1.0
110,071/3/2022-11-14 10:45:22.026422-110.jpg,379.785985,517.46712,816.885925,543.305065,1.0
111,071/3/2022-11-14 10:45:22.030401-111.jpg,384.509205,519.447115,816.3058,544.64209,1.0
112,071/3/2022-11-14 10:45:22.034356-112.jpg,379.70123,519.01876,817.98254,547.32041,1.0
113,071/3/2022-11-14 10:45:22.041084-113.jpg,381.0149,520.50278,819.2514500000001,546.0224000000001,1.0
114,071/3/2022-11-14 10:45:22.049879-114.jpg,377.519425,525.83892,816.5543550000001,546.4601,1.0
115,071/3/2022-11-14 10:45:22.057643-115.jpg,377.683525,521.46846,818.242345,546.138455,1.0
116,071/3/2022-11-14 10:45:22.062932-116.jpg,383.78525,521.0972200000001,817.43242,544.14865,1.0
117,071/3/2022-11-14 10:45:22.067695-117.jpg,375.53684,518.6447000000001,816.19192,544.913075,1.0
118,071/3/2022-11-14 10:45:22.071907-118.jpg,377.800145,522.71497,816.772395,550.83722,1.0
119,071/3/2022-11-14 10:45:22.078290-119.jpg,373.77963,522.824925,815.677575,546.2239500000001,1.0
120,071/3/2022-11-14 10:45:22.084499-120.jpg,372.656005,517.66736,815.39339,544.03612,1.0
121,071/3/2022-11-14 10:45:22.090899-121.jpg,374.98729,517.96709,816.92552,546.060225,1.0
122,071/3/2022-11-14 10:45:22.097175-122.jpg,373.56886,523.37378,817.11933,547.0827,1.0
123,071/3/2022-11-14 10:45:22.106377-123.jpg,374.418595,521.70655,815.203745,545.47563,1.0
124,071/3/2022-11-14 10:45:22.112324-124.jpg,374.876135,524.152,815.54667,548.42659,1.0
125,071/3/2022-11-14 10:45:22.117756-125.jpg,374.25004,521.359645,815.0423499999999,544.97632,1.0
126,071/3/2022-11-14 10:45:22.122418-126.jpg,377.38258,519.3172500000001,818.3516749999999,545.34959,1.0
127,071/3/2022-11-14 10:45:22.128130-127.jpg,375.19027,522.7279349999999,813.5222650000001,546.4038350000001,1.0
128,071/3/2022-11-14 10:45:22.134521-128.jpg,373.523565,524.869985,814.5471200000001,546.2986149999999,1.0
129,071/3/2022-11-14 10:45:22.140857-129.jpg,377.569995,524.47432,814.9684149999999,546.52292,1.0
130,071/3/2022-11-14 10:45:22.146960-130.jpg,375.38845,527.9051850000001,815.365585,547.11983,1.0
131,071/3/2022-11-14 10:45:22.153267-131.jpg,369.51534,524.1039350000001,812.77511,547.11628,1.0
132,071/3/2022-11-14 10:45:22.159562-132.jpg,369.34131,525.31102,814.6504,547.2394900000002,1.0
133,071/3/2022-11-14 10:45:22.166098-133.jpg,372.021265,523.90059,814.07889,547.36071,1.0
134,071/3/2022-11-14 10:45:22.172115-134.jpg,370.975335,525.54241,814.0149299999999,547.340425,1.0
135,071/3/2022-11-14 10:45:22.178406-135.jpg,368.2652450000001,522.713845,811.03886,546.1965150000001,1.0
136,071/3/2022-11-14 10:45:22.187025-136.jpg,369.20381,526.14813,813.4594999999999,550.2851049999999,1.0
137,071/3/2022-11-14 10:45:22.193679-137.jpg,370.56395,525.84221,812.97703,547.742685,1.0
138,071/3/2022-11-14 10:45:22.200079-138.jpg,376.77054,528.93534,815.78143,548.837825,1.0
139,071/3/2022-11-14 10:45:22.204217-139.jpg,372.61068,526.1908099999999,813.04875,550.4322950000001,1.0
140,071/3/2022-11-14 10:45:22.209558-140.jpg,369.937975,526.91408,812.9526350000001,550.717485,1.0
141,071/3/2022-11-14 10:45:22.216010-141.jpg,373.102465,532.5841700000001,811.48058,550.05266,1.0
142,071/3/2022-11-14 10:45:22.222029-142.jpg,374.149215,529.2859,811.4326,548.66539,1.0
143,071/3/2022-11-14 10:45:22.228231-143.jpg,370.38539,531.65327,813.423055,548.499755,1.0
144,071/3/2022-11-14 10:45:22.234495-144.jpg,376.339715,529.85972,812.42788,547.725275,1.0
145,071/3/2022-11-14 10:45:22.241069-145.jpg,375.622785,526.10303,811.054795,549.08458,1.0
146,071/3/2022-11-14 10:45:22.247042-146.jpg,371.59152,525.955425,813.920895,550.0223000000001,1.0
147,071/3/2022-11-14 10:45:22.253331-147.jpg,370.56383,525.35653,814.1016,548.7992,1.0
148,071/3/2022-11-14 10:45:22.259720-148.jpg,370.543265,527.082065,812.586565,545.691965,1.0
149,071/3/2022-11-14 10:45:22.266157-149.jpg,371.22969,526.69753,813.42807,549.05552,1.0
